"Facility Name","CMS Certification Number (CCN)","Alternate CCN","Address","City","State","Zip Code","Network","Measure Name","Achievement Measure Ratio","SHR Measure Score","SHR Reason for No Score (See Footnotes File)","State Average SHR Measure Score","National Average SHR Measure Score"
"BRAZORIA COUNTY DIALYSIS, LLP","672680","-","405 THIS WAY STREET","LAKE JACKSON","TX","77566","Network 14","Standardized Hospitalization Ratio","138.26","4","-","2","3"
"BRIDGEWATER CENTER FOR DIALYSIS","332690","-","159 FRONT STREET","BINGHAMTON","NY","13905","Network 2","Standardized Hospitalization Ratio","142.67","3","-","2","3"
"Brigham And Women's Hospital","222309","220110","75 FRANCIS STREET","BOSTON","MA","02115","Network 1","Standardized Hospitalization Ratio","No Rate","No Score","13","2","3"
"BRISTOL DIALYSIS LLC","392735","-","1900 FROST ROAD","Bristol","PA","19007","Network 4","Standardized Hospitalization Ratio","194.63","0","-","3","3"
"BROADWAY DIALYSIS CENTER at ELMHURST HOSPITAL CENTER","332647","-","79-01 BROADWAY D-7 WING","FLUSHING","NY","11373","Network 2","Standardized Hospitalization Ratio","145.10","5","-","2","3"
"BROADWAY KIDNEY DISEASE CENTER","452816","-","8840 TRADEWAY","SAN ANTONIO","TX","78217","Network 14","Standardized Hospitalization Ratio","180.62","0","-","2","3"
"BROCKTON DIALYSIS CENTER, LLC","222505","-","375 WESTGATE DRIVE","BROCKTON","MA","02301","Network 1","Standardized Hospitalization Ratio","165.52","1","-","2","3"
"Brockton Regional Kidney Center","222574","-","76 CAMPANELLI INDUSTRIAL DRIVE","BROCKTON","MA","02301","Network 1","Standardized Hospitalization Ratio","171.03","0","-","2","3"
"Bronx Center for Renal Dialysis, LLC","332825","-","170 BUFFALO AVENUE","Brooklyn","NY","11213","Network 2","Standardized Hospitalization Ratio","144.27","3","-","2","3"
"Bronx Center for Renal Dialysis, LLC","332850","-","612 ALLERTON AVE","Bronx","NY","10467","Network 2","Standardized Hospitalization Ratio","197.74","0","-","2","3"
"Bronx Center For Renal Dialysis, LLC","332677","-","1010 UNDERHILL AVENUE","BRONX","NY","10472","Network 2","Standardized Hospitalization Ratio","198.09","0","-","2","3"
"Bronx Center For Renal Dialysis, LLC","332845","-","722 MYRTLE AVENUE","Brooklyn","NY","11205","Network 2","Standardized Hospitalization Ratio","213.97","4","-","2","3"
"Bronx Center For Renal Dialysis, LLC","332816","-","4 SOUTH AIRMONT RD","Suffern","NY","10901","Network 2","Standardized Hospitalization Ratio","195.63","0","-","2","3"
"Bronxchester Home Training at Home","332813","-","34 MARCONI ST","Bronx","NY","10461","Network 2","Standardized Hospitalization Ratio","130.52","5","-","2","3"
"BROOKDALE HOSPITAL & MEDICAL CENTER","332352","330233","1 BROOKDALE PLAZA","BROOKLYN","NY","11212","Network 2","Standardized Hospitalization Ratio","103.08","8","-","2","3"
"BROOKLYN DIALYSIS CENTER LLC","332692","-","915 DEAN STREET","BROOKLYN","NY","11238","Network 2","Standardized Hospitalization Ratio","232.30","0","-","2","3"
"Brooklyn Garden Dialysis","332820","-","835 HERKIMER STREET","Brooklyn","NY","11233","Network 2","Standardized Hospitalization Ratio","176.09","2","-","2","3"
"BROOKLYN HOSPITAL CENTER","332312","330056","121 DEKALB AVENUE","BROOKLYN","NY","11201","Network 2","Standardized Hospitalization Ratio","No Rate","No Score","13","2","3"
"BROOKLYN HOSPITAL CENTER II","333515","-","218 MYRTLE AVENUE","BROOKLYN","NY","11201","Network 2","Standardized Hospitalization Ratio","142.33","4","-","2","3"
"Brooklyn United Methodist Continuum Services","332783","-","1485 DUMONT AVE","Brooklyn","NY","11208","Network 2","Standardized Hospitalization Ratio","170.46","0","-","2","3"
"BURRILL DIALYSIS LLC","752589","-","1700 N ROSE AVE., STE 370","OXNARD","CA","93030","Network 18","Standardized Hospitalization Ratio","102.83","8","-","4","3"
"BUSHWICK CENTER FOR RENAL DIALYSIS, LLC","332712","-","51 GEORGIA AVENUE","BROOKLYN","NY","11207","Network 2","Standardized Hospitalization Ratio","189.65","0","-","2","3"
"BUTLER COUNTY DIALYSIS CENTER","392677","-","111 WOODY DRIVE","Butler","PA","16001","Network 4","Standardized Hospitalization Ratio","157.18","2","-","3","3"
"Cameron Regional Medical Center Renal Dialysis Center","262340","260057","1600 E EVERGREEN","CAMERON","MO","64429","Network 12","Standardized Hospitalization Ratio","144.89","3","-","2","3"
"CAMP ORKILA","503700","-","484 CAMP ORKILA RD","EASTSOUND","WA","98245","Network 16","Standardized Hospitalization Ratio","No Rate","No Score","13","5","3"
"CAPE CORAL KIDNEY CENTER, LLC","682631","-","2735 SANTA BARBARA BLVD","CAPE CORAL","FL","33914","Network 7","Standardized Hospitalization Ratio","133.37","4","-","2","3"
"Cape Point Dialysis","682721","-","4539 CHIQUITA BLVD S","Cape Coral","FL","33914","Network 7","Standardized Hospitalization Ratio","153.42","2","-","2","3"
"Capital Region Dialysis Clinic LLC","212729","-","1051 BRIGHTSEAT RD","Landover","MD","20785","Network 5","Standardized Hospitalization Ratio","93.36","9","-","6","3"
"CAPITOL DIALYSIS","092521","-","140 Q STREET, N.E.","WASHINGTON","DC","20002","Network 5","Standardized Hospitalization Ratio","140.52","3","-","3","3"
"Cardinal Glennon Childrens Hospital Dialysis","262320","263300","1465 S GRAND BLVD","SAINT LOUIS","MO","63104","Network 12","Standardized Hospitalization Ratio","67.24","10","-","2","3"
"CARILLON DIALYSIS LLC","332657","-","830 PARK AVENUE","HUNTINGTON","NY","11743","Network 2","Standardized Hospitalization Ratio","105.25","8","-","2","3"
"Caring Heart Metro West Dialysis LLC","682688","-","1743 PARK CENTER DRIVE","Orlando","FL","32835","Network 7","Standardized Hospitalization Ratio","221.79","2","-","2","3"
"Carl T Curtis Dialysis Clinic","282525","-","ATTN DIALYSIS UNIT","MACY","NE","68039","Network 12","Standardized Hospitalization Ratio","154.97","2","-","3","3"
"Carl T Curtis Health Ed Center Satellite Clinic","282537","-","204 MAIN ST","Walthill","NE","68067","Network 12","Standardized Hospitalization Ratio","No Rate","No Score","13","3","3"
"Carmen Floresville","742610","-","917 10TH STREET","Floresville","TX","78114","Network 14","Standardized Hospitalization Ratio","80.82","10","-","2","3"
"CAROLINA DIALYSIS CARRBORO","342622","-","105 RENEE LYNNE COURT","CARRBORO","NC","27510","Network 6","Standardized Hospitalization Ratio","129.44","5","-","4","3"
"CAROLINA DIALYSIS LLC","422608","-","115 INTERSTATE PARK","SPARTANBURG","SC","29303","Network 6","Standardized Hospitalization Ratio","148.09","3","-","3","3"
"CAROLINA DIALYSIS, LLC","342697","-","115 WILSON ROAD","SANFORD","NC","27332","Network 6","Standardized Hospitalization Ratio","87.90","10","-","4","3"
"Carolina Dialysis of Mebane","342691","-","1410 SOUTH 3RD STREET","MEBANE","NC","27302","Network 6","Standardized Hospitalization Ratio","132.97","4","-","4","3"
"CAROLINA DIALYSIS PITTSBORO","342617","-","76 OLD ROCK SPRING CEMETERY RD","Pittsboro","NC","27312","Network 6","Standardized Hospitalization Ratio","128.61","5","-","4","3"
"CAROLINA DIALYSIS SANFORD","342620","-","1017 CARTHAGE STREET","Sanford","NC","27330","Network 6","Standardized Hospitalization Ratio","126.72","5","-","4","3"
"CAROLINA DIALYSIS SILER CITY","342621","-","192 CAMPUS DRIVE","SILER CITY","NC","27344","Network 6","Standardized Hospitalization Ratio","121.90","6","-","4","3"
"CAROLINAS MEDICAL CENTER DIALYSIS UNIT","342306","340113","1000 BLYTHE BLVD","CHARLOTTE","NC","28232","Network 6","Standardized Hospitalization Ratio","107.39","7","-","4","3"
"CAROL MOLINARO DIALYSIS CENTER","332625","332406","800 CASTLETON AVENUE","STATEN ISLAND","NY","10310","Network 2","Standardized Hospitalization Ratio","143.94","3","-","2","3"
"Carrollton Regional Dialysis Center","672794","-","1128 NORTH I-35 EAST","CARROLLTON","TX","75006","Network 14","Standardized Hospitalization Ratio","131.72","4","-","2","3"
"CARROLLWOOD ARTIFICIAL KIDNEY CENTER","102681","-","4553 GUNN HWY","TAMPA","FL","33624","Network 7","Standardized Hospitalization Ratio","147.20","3","-","2","3"
"CARTHAGE DIALYSIS CENTER","452556","-","1274 S MARKET","Carthage","TX","75633","Network 14","Standardized Hospitalization Ratio","125.51","5","-","2","3"
"CARY KIDNEY CENTER","342544","-","5045 OLD RALEIGH ROAD","CARY","NC","27511","Network 6","Standardized Hospitalization Ratio","119.25","6","-","4","3"
"Casco Bay Dialysis Facility","202505","-","1 CHABOT STREET","WESTBROOK","ME","04092","Network 1","Standardized Hospitalization Ratio","96.07","9","-","6","3"
"Cassena Kidney Care at Norwalk","072559","-","23 PROSPECT ST.","Norwalk","CT","06850","Network 1","Standardized Hospitalization Ratio","147.56","3","-","3","3"
"CDC Home Care Mentor","362835","-","8900 TYLER BLVD","MENTOR","OH","44060","Network 9","Standardized Hospitalization Ratio","No Rate","No Score","13","3","3"
"CDC HOME CARE (YOUNGSTOWN), LTD.","362721","-","807 SOUTHWESTERN RUN","YOUNGSTOWN","OH","44514","Network 9","Standardized Hospitalization Ratio","168.49","2","-","3","3"
"CenLA Dialysis","192764","-","1430 W ELM ST","Jena","LA","71342","Network 13","Standardized Hospitalization Ratio","191.24","0","-","4","3"
"CENTER FOR DIALYSIS CARE AT HEATHER HILL","362603","-","12340 BASS LAKE ROAD","CHARDON","OH","44024","Network 9","Standardized Hospitalization Ratio","215.06","0","-","3","3"
"Center for Dialysis Care Beachwood Home Care LLC","362895","-","3755 ORANGE PLACE","Beachwood","OH","44122","Network 9","Standardized Hospitalization Ratio","90.10","9","-","3","3"
"CENTER FOR DIALYSIS CARE HOME CARE, LTD.","362578","-","25301 EUCLID AVENUE","EUCLID","OH","44117","Network 9","Standardized Hospitalization Ratio","211.00","0","-","3","3"
"Center for Dialysis Care Middleburg Heights","362878","-","6749 EASTLAND ROAD","Middleburg Heights","OH","44130","Network 9","Standardized Hospitalization Ratio","194.93","0","-","3","3"
"CENTER FOR DIALYSIS CARE WESTSIDE HOME CARE LLC","362877","-","20790 LORAIN PARK","Fairview Park","OH","44126","Network 9","Standardized Hospitalization Ratio","234.80","0","-","3","3"
"Central Bakersfield Dialysis Center","552874","-","5101 WHITE LN, SUITE A","Bakersfield","CA","93309","Network 18","Standardized Hospitalization Ratio","143.26","3","-","4","3"
"CENTRAL BROOKLYN DIALYSIS CENTER LLC","332646","-","818 STERLING PLACE","BROOKLYN","NY","11216","Network 2","Standardized Hospitalization Ratio","180.80","0","-","2","3"
"CENTRAL COLUMBIA KIDNEY CENTER","422529","-","3511 MEDICAL DRIVE","COLUMBIA","SC","29203","Network 6","Standardized Hospitalization Ratio","132.20","4","-","3","3"
"Central Ct Dialysis Center","072508","-","377 RESEARCH PARKWAY","MERIDEN","CT","06450","Network 1","Standardized Hospitalization Ratio","171.62","0","-","3","3"
"Central Dialysis, LLC","682728","-","5631 1ST AVENUE SOUTH","Saint Petersburg","FL","33707","Network 7","Standardized Hospitalization Ratio","175.61","0","-","2","3"
"CENTRAL FLORIDA KIDNEY CENTER-EAST ORLANDO","682591","-","401 S CHICKASAW TRAIL","ORLANDO","FL","32825","Network 7","Standardized Hospitalization Ratio","231.92","0","-","2","3"
"CENTRAL FLORIDA KIDNEY CENTER - OSCEOLA","102704","-","14522 LANDSTAR BLVD","ORLANDO","FL","32824","Network 7","Standardized Hospitalization Ratio","225.00","0","-","2","3"
"CENTRAL FLORIDA KIDNEY CENTERS INC","102505","-","203 ERNESTINE STREET","ORLANDO","FL","32801","Network 7","Standardized Hospitalization Ratio","257.40","0","-","2","3"
"CENTRAL FLORIDA KIDNEY CENTER - VINELAND","102585","-","4407 VINELAND RD","ORLANDO","FL","32811","Network 7","Standardized Hospitalization Ratio","328.78","0","-","2","3"
"Central New Hampshire Kidney Center","302503","-","87 SPRING STREET","LACONIA","NH","03246","Network 1","Standardized Hospitalization Ratio","160.40","1","-","4","3"
"CENTRO DE CUIDADO RENAL - ELA, LLC","752578","-","3575 WHITTIER BLVD","Los Angeles","CA","90023","Network 18","Standardized Hospitalization Ratio","143.17","3","-","4","3"
"CENTRO DE CUIDADO RENAL, LLC","752572","-","5949 STATE STREET","HUNTINGTON PARK","CA","90255","Network 18","Standardized Hospitalization Ratio","268.70","1","-","4","3"
"Centro Renal Universitario","402305","400061","BARRIO :MONACILLO","SAN JUAN","PR","00922","Network 3","Standardized Hospitalization Ratio","137.32","4","-","3","3"
"Chadron Community Hospital Dialysis","282313","281341","825 CENTENIAL DRIVE","CHADRON","NE","69337","Network 12","Standardized Hospitalization Ratio","139.65","4","-","3","3"
"CHALMETTE DIALYSIS CTR","192515","-","4020 PARIS RD","CHALMETTE","LA","70043","Network 13","Standardized Hospitalization Ratio","151.52","2","-","4","3"
"CHANNAHON HOME DIALYSIS","142844","-","27025 W. EAMES STREET","Channahon","IL","60410","Network 10","Standardized Hospitalization Ratio","67.66","10","-","3","3"
"Chautha LLC","742702","-","1329 W WALNUT HILL LN STE 110","Irving","TX","75038","Network 14","Standardized Hospitalization Ratio","161.10","1","-","2","3"
"Cherokee Community Dialysis, LLC","012702","-","485 NORTHWOOD DRIVE","CENTRE","AL","35960","Network 8","Standardized Hospitalization Ratio","116.10","6","-","4","3"
"Cherry County Hospital Dialysis Unit","282315","281344","510 N GREEN ST","VALENTINE","NE","69201","Network 12","Standardized Hospitalization Ratio","121.47","6","-","3","3"
"CHESAPEAKE DIALYSIS CLINIC LLC","212619","-","305 COLLEGE PKY","ARNOLD","MD","21012","Network 5","Standardized Hospitalization Ratio","133.63","4","-","6","3"
"CHESAPEAKE KIDNEY CENTER","492538","-","111 MEDICAL PKWY","CHESAPEAKE","VA","23320","Network 5","Standardized Hospitalization Ratio","144.99","3","-","4","3"
"CHILDRENS DIALYSIS CLINIC OF CENTRAL TEXAS","452842","-","1301 BARBARA  JORDAN BLVD","AUSTIN","TX","78723","Network 14","Standardized Hospitalization Ratio","112.88","7","-","2","3"
"Children's Hospital Boston","222312","223302","300 LONGWOOD AVENUE","BOSTON","MA","02115","Network 1","Standardized Hospitalization Ratio","No Rate","No Score","13","2","3"
"CHILDRENS HOSPITAL DIALYSIS","012306","013300","1600 7TH AVENUE SOUTH","BIRMINGHAM","AL","35233","Network 8","Standardized Hospitalization Ratio","226.20","1","-","4","3"
"CHILDRENS HOSPITAL-DIALYSIS","192325","193300","200 HENRY CLAY AVE","NEW ORLEANS","LA","70118","Network 13","Standardized Hospitalization Ratio","158.67","1","-","4","3"
"Childrens Hospital & Medical Center","282319","283301","111 N 84TH ST","Omaha","NE","68114","Network 12","Standardized Hospitalization Ratio","No Rate","No Score","13","3","3"
"CHILDRENS HOSPITAL MEDICAL CTR - AKRON","362328","363303","ONE PERKINS SQUARE - DIALYSIS","AKRON","OH","44308","Network 9","Standardized Hospitalization Ratio","No Rate","No Score","13","3","3"
"CHILDRENS HOSPITAL OF KINGS DAUGHTERS","492321","493301","PEDIATRIC DIALYSIS CTR","NORFOLK","VA","23507","Network 5","Standardized Hospitalization Ratio","No Rate","No Score","13","4","3"
"Childrens Hospital of Los Angeles","052321","053302","DIVISION OF NEPHROLOGY (DIALYSIS) 4650 SUNSET BLVD., BOX 40","Los Angeles","CA","90027","Network 18","Standardized Hospitalization Ratio","114.38","6","-","4","3"
"CHILDRENS HOSPITAL OF MICHIGAN DIALYSIS","232328","233300","3950 BEAUBIEN BLVD","DETROIT","MI","48201","Network 11","Standardized Hospitalization Ratio","78.23","10","-","3","3"
"CHILDREN'S HOSPITAL OF PHILADELPHIA","392354","393303","3500 CIVIC CENTER BLVD.","PHILADELPHIA","PA","19104","Network 4","Standardized Hospitalization Ratio","94.10","9","-","3","3"
"Childrens Hospital of San Diego","052395","053303","3020 CHILDRENS WAY, MC 5115","San Diego","CA","92123","Network 18","Standardized Hospitalization Ratio","No Rate","No Score","13","4","3"
"CHILDRENS HOSPITAL OF WI","522319","523300","DIALYSIS UNIT - MAIL STATION 604","MILWAUKEE","WI","53226","Network 11","Standardized Hospitalization Ratio","No Rate","No Score","13","4","3"
"CHILDRENS MEDICAL CENTER DIALYSIS UNIT","452344","453302","1935 MEDICAL DISTRICT DRIVE","DALLAS","TX","75235","Network 14","Standardized Hospitalization Ratio","145.89","4","-","2","3"
"CHILDREN'S MEMORIAL HERMANN DIALYSIS CENTER","452309","450068","6411 FANNIN ST","HOUSTON","TX","77030","Network 14","Standardized Hospitalization Ratio","No Rate","No Score","13","2","3"
"Childrens Mercy Hospital Dialysis","262326","263302","2401 GILLHAM RD","KANSAS CITY","MO","64108","Network 12","Standardized Hospitalization Ratio","160.77","1","-","2","3"
"CHILDRESS REGIONAL MEDICAL CENTER DIALYSIS","452385","450369","910 REAR  OAK LANE","CHILDRESS","TX","79201","Network 14","Standardized Hospitalization Ratio","199.86","1","-","2","3"
"CHINATOWN DIALYSIS CENTER INC","332607","-","213 HESTER ST.","NEW YORK","NY","10013","Network 2","Standardized Hospitalization Ratio","123.86","5","-","2","3"
"Chippewa Dialysis Services","232350","230239","509 OSBORN BLVD, STE 200","SAULT SAINTE MARIE","MI","49783","Network 11","Standardized Hospitalization Ratio","96.28","9","-","3","3"
"CHI ST ALEXIUS HEALTH - BISMARCK DIALYSIS","352300","350002","900 E BROADWAY","BISMARCK","ND","58501","Network 11","Standardized Hospitalization Ratio","153.98","2","-","4","3"
"CHI ST ALEXIUS HEALTH - DICKINSON DIALYSIS","353501","-","2500 FAIRWAY ST","DICKINSON","ND","58601","Network 11","Standardized Hospitalization Ratio","84.08","10","-","4","3"
"CHI St Alexius Health - Williston Dialysis","353502","-","1301 15TH AVE W","WILLISTON","ND","58801","Network 11","Standardized Hospitalization Ratio","99.76","8","-","4","3"
"CHITTO DIALYSIS LLC","012716","-","5406 HWY 280 STE C100","Birmingham","AL","35242","Network 8","Standardized Hospitalization Ratio","220.45","0","-","4","3"
"CHRISTIANA CARE HEALTH SYSTEM","082300","080001","HEMODIALYSIS UNIT, CHRISTIANA HOSPITAL","Newark","DE","19718","Network 4","Standardized Hospitalization Ratio","No Rate","No Score","13","4","3"
"CHRISTUS CHILDRENS KIDNEY CENTER","452372","450237","333 NORTH SANTA ROSA STREET","SAN ANTONIO","TX","78207","Network 14","Standardized Hospitalization Ratio","No Rate","No Score","13","2","3"
"CINCINNATI CHILDRENS HOSPITAL MED CTR","362321","363300","3333 BURNET AVENUE, UNIT - MLC 7022","CINCINNATI","OH","45229","Network 9","Standardized Hospitalization Ratio","No Rate","No Score","13","3","3"
"CINLD, LLC","362845","-","1555 GOODMAN AVENUE","CINCINNATI","OH","45224","Network 9","Standardized Hospitalization Ratio","129.18","5","-","3","3"
"CIRCLE MEDICAL MANAGEMENT","142540","-","1606 W ADAMS ST","CHICAGO","IL","60607","Network 10","Standardized Hospitalization Ratio","175.14","1","-","3","3"
"Citadel Renal Care  LLC","332640","-","100 WEST KINGSBRIDGE ROAD","BRONX","NY","10468","Network 2","Standardized Hospitalization Ratio","155.95","2","-","2","3"
"Citrus Dialysis Center","052720","-","315 N. THIRD AVENUE, SUITE 104","Covina","CA","91723","Network 18","Standardized Hospitalization Ratio","134.24","4","-","4","3"
"CITY DIALYSIS CENTER","332524","-","105 EAST 106TH STREET","NEW YORK","NY","10029","Network 2","Standardized Hospitalization Ratio","130.06","5","-","2","3"
"CKC St Croix","482500","-","5134 SUNDIAL PARK","CHRISTIANSTED","VI","00820","Network 3","Standardized Hospitalization Ratio","108.15","7","-","9","3"
"CKC ST THOMAS","482501","-","52 B ESTATE THOMAS","ST THOMAS","VI","00802","Network 3","Standardized Hospitalization Ratio","63.07","10","-","9","3"
"CLARION DIALYSIS CENTER, LLC","392713","-","22631 RT 68","Clarion","PA","16214","Network 4","Standardized Hospitalization Ratio","192.15","0","-","3","3"
"Clear Lake Dialysis Center","742589","-","1050 GEMINI STREET","Houston","TX","77058","Network 14","Standardized Hospitalization Ratio","238.89","0","-","2","3"
"CLEAR LAKE KIDNEY CENTER","452609","-","1550 LIVE OAK","WEBSTER","TX","77598","Network 14","Standardized Hospitalization Ratio","152.46","2","-","2","3"
"CLERMONT DIALYSIS CENTER, LLC","682617","-","1625 HANCOCK ROAD","CLERMONT","FL","34711","Network 7","Standardized Hospitalization Ratio","217.58","1","-","2","3"
"CLEVELAND CLINIC CHILDRENS HOSP FOR REHABILITATION","362344","363304","2801 MARTIN LUTHER KING JR DR","CLEVELAND","OH","44104","Network 9","Standardized Hospitalization Ratio","No Rate","No Score","13","3","3"
"CLEVELAND HOME DIALYSIS","362814","-","9729 GRANGER ROAD","GARFIELD HEIGHTS","OH","44125","Network 9","Standardized Hospitalization Ratio","164.69","4","-","3","3"
"CLEWISTON DIALYSIS CENTER","102741","-","851 W VENTURA AVE","CLEWISTON","FL","33440","Network 7","Standardized Hospitalization Ratio","150.17","2","-","2","3"
"Clinton Dialysis Clinic","422662","-","103 AB JACKS RD","CLINTON","SC","29325","Network 6","Standardized Hospitalization Ratio","156.02","2","-","3","3"
"Coachella Kidney Institute, LLC","552722","-","1413 6TH STREET","COACHELLA","CA","92236","Network 18","Standardized Hospitalization Ratio","134.76","4","-","4","3"
"Coastal Dialysis Center","202502","-","55 CONGRESS AVENUE","BATH","ME","04530","Network 1","Standardized Hospitalization Ratio","126.05","5","-","6","3"
"COASTAL DIALYSIS CENTER","112507","-","1460 EAST VICTORY DRIVE","SAVANNAH","GA","31404","Network 6","Standardized Hospitalization Ratio","137.98","4","-","3","3"
"COASTAL DIALYSIS CENTER","682539","-","641 UNIVERSITY BLVD #209","JUPITER","FL","33458","Network 7","Standardized Hospitalization Ratio","207.33","1","-","2","3"
"Coldsprings Dialysis, LLC","212671","-","4700 HARTFORD ROAD","BALTIMORE","MD","21214","Network 5","Standardized Hospitalization Ratio","153.49","2","-","6","3"
"College Hill Dialysis","362898","-","1550 GOODMAN AVENUE","Cincinnati","OH","45224","Network 9","Standardized Hospitalization Ratio","189.71","0","-","3","3"
"COLLIN COUNTY DIALYSIS CENTER","452686","-","3420 AVE K","PLANO","TX","75074","Network 14","Standardized Hospitalization Ratio","142.67","3","-","2","3"
"COLLINS DIALYSIS","252558","-","15 COVINGTON RIDGE PLACE","COLLINS","MS","39428","Network 8","Standardized Hospitalization Ratio","158.98","1","-","4","3"
"Colloma Dialysis, LLC","722502","-","2801 WILMINGTON PIKE","Kettering","OH","45419","Network 9","Standardized Hospitalization Ratio","127.97","5","-","3","3"
"COLQUITT REGIONAL MEDICAL CENTER DIALYSIS","112314","110105","449 31ST AVENUE SE","MOULTRIE","GA","31768","Network 6","Standardized Hospitalization Ratio","240.90","0","-","3","3"
"COLUMBIA DIALYSIS","252523","-","1214 HIGHWAY 98 BYPASS","COLUMBIA","MS","39429","Network 8","Standardized Hospitalization Ratio","170.01","0","-","4","3"
"COLUMBIA-GREENE DIALYSIS (CATSKILL DIVISION)","332641","-","159 JEFFERSON HEIGHTS","CATSKILL","NY","12414","Network 2","Standardized Hospitalization Ratio","136.03","4","-","2","3"
"COLUMBIA GREENE DIALYSIS CENTERS","332562","-","2 SHERMAN POTTS DR","Ghent","NY","12075","Network 2","Standardized Hospitalization Ratio","148.47","3","-","2","3"
"Columbia Medical Center of Denton Subsidiary, L.P.","452379","450271","2150 S. FM 51","DECATUR","TX","76234","Network 14","Standardized Hospitalization Ratio","200.76","0","-","2","3"
"COLUMBIA NORTHEAST KIDNEY CENTER","422587","-","7499 PARKLAND ROAD","COLUMBIA","SC","29203","Network 6","Standardized Hospitalization Ratio","93.53","9","-","3","3"
"COLUMBUS HOME DIALYSIS","112530","-","2821 WARM SPRINGS ROAD","COLUMBUS","GA","31904","Network 6","Standardized Hospitalization Ratio","105.66","8","-","3","3"
"Comfort Care Dialysis Center, LLC","682760","-","10550 NW 77TH CT","Hialeah","FL","33016","Network 7","Standardized Hospitalization Ratio","161.93","1","-","2","3"
"COMMERCE KIDNEY CENTER","112818","-","592 RIDGE WAY RD STE A.","COMMERCE","GA","30529","Network 6","Standardized Hospitalization Ratio","194.59","0","-","3","3"
"COMMONWEALTH HEALTH CENTER","662300","660001","PO BOX 500409 CK HEMO UNIT","SAIPAN","MP","96950","Network 17","Standardized Hospitalization Ratio","86.25","10","-","3","3"
"COMMUNITY DIALYSIS CENTER","362758","-","27350 CEDAR ROAD","BEACHWOOD","OH","44122","Network 9","Standardized Hospitalization Ratio","178.88","0","-","3","3"
"COMMUNITY DIALYSIS CENTER","362773","-","1233 MENTOR AVENUE","PAINESVILLE","OH","44077","Network 9","Standardized Hospitalization Ratio","153.29","2","-","3","3"
"COMMUNITY DIALYSIS CENTER","362500","-","11717 EUCLID AVENUE","CLEVELAND","OH","44106","Network 9","Standardized Hospitalization Ratio","206.73","0","-","3","3"
"COMMUNITY DIALYSIS CENTER","362564","-","222 EAST BEECH STREET","JEFFERSON","OH","44047","Network 9","Standardized Hospitalization Ratio","136.40","4","-","3","3"
"COMMUNITY DIALYSIS CENTER","053525","-","215 NORTH FRESNO STREET","FRESNO","CA","93701","Network 17","Standardized Hospitalization Ratio","136.29","4","-","4","3"
"COMMUNITY DIALYSIS CENTER","362567","-","3330 WEST 25TH","CLEVELAND","OH","44109","Network 9","Standardized Hospitalization Ratio","228.04","0","-","3","3"
"COMMUNITY DIALYSIS CENTER","362505","-","8900 TYLER BLVD","MENTOR","OH","44060","Network 9","Standardized Hospitalization Ratio","189.32","0","-","3","3"
"COMMUNITY MEDICAL CENTER DIALYSIS LLC","272515","-","1325 S RESERVE ST","MISSOULA","MT","59801","Network 16","Standardized Hospitalization Ratio","191.88","0","-","5","3"
"COMPLETE DIALYSIS CARE, LLC","672746","-","607 E 7TH STREET","ODESSA","TX","79761","Network 14","Standardized Hospitalization Ratio","135.41","4","-","2","3"
"Concerto DelawareLLC","082533","-","15 OMEGA DRIVE","Newark","DE","19713","Network 4","Standardized Hospitalization Ratio","145.15","3","-","4","3"
"CONCERTO DIALYSIS","142655","-","4600 W TOUHY AVE","Lincolnwood","IL","60712","Network 10","Standardized Hospitalization Ratio","167.94","0","-","3","3"
"Concerto Florida LLC","682788","-","8333 W MCNAB ROAD","Tamarac","FL","33321","Network 7","Standardized Hospitalization Ratio","No Rate","No Score","13","2","3"
"Concerto Georgia LLC","852576","-","1790 MULKEY ROAD, SUITE 5B","Austell","GA","30106","Network 6","Standardized Hospitalization Ratio","182.87","0","-","3","3"
"Concerto Indiana LLC","152711","-","333 W. 89TH AVENUE","Merrillville","IN","46410","Network 9","Standardized Hospitalization Ratio","184.27","0","-","4","3"
"Concerto Kansas, LLC","172562","-","6740 W 121ST ST SUITE 100","OVERLAND PARK","KS","66209","Network 12","Standardized Hospitalization Ratio","183.76","0","-","4","3"
"CONCERTO MARYLAND, LLC","212687","-","20 CRAIGTOWN RD","Port Deposit","MD","21904","Network 5","Standardized Hospitalization Ratio","133.84","4","-","6","3"
"CONCERTO MASSACHUSETTS LLC","222601","-","1256 PARK STREET","STOUGHTON","MA","02072","Network 1","Standardized Hospitalization Ratio","No Rate","No Score","13","2","3"
"CONCERTO MICHIGAN LLC","232742","-","14700 FARMINGTON RD STE 100","LIVONIA","MI","48154","Network 11","Standardized Hospitalization Ratio","182.76","0","-","3","3"
"CONCERTO MINNESOTA LLC","242702","-","3401 WOODDALE AVENUE SOUTH","SAINT LOUIS PARK","MN","55416","Network 11","Standardized Hospitalization Ratio","No Rate","No Score","13","4","3"
"Concerto Missouri LLC","262700","-","404 EAST BANNISTER ROAD SUITE F","Kansas City","MO","64131","Network 12","Standardized Hospitalization Ratio","191.91","0","-","2","3"
"Concerto Ohio LLC","362897","-","2111 SOUTH GREEN ROAD","South Euclid","OH","44121","Network 9","Standardized Hospitalization Ratio","181.41","0","-","3","3"
