"Facility Name","CMS Certification Number (CCN)","Alternate CCN","Address","City","State","Zip Code","Network","Measure Name","Achievement Measure Ratio","SHR Measure Score","SHR Reason for No Score (See Footnotes File)","State Average SHR Measure Score","National Average SHR Measure Score"
"FRESENIUS MEDICAL CARE BURLESON, LLC","672703","-","200 MCPHERSON BLVD","FORT WORTH","TX","76140","Network 14","Standardized Hospitalization Ratio","160.82","1","-","2","3"
"FRESENIUS MEDICAL CARE BUTLER COUNTY, LLC","362856","-","890 NW WASHINGTON BOULEVARD","HAMILTON","OH","45013","Network 9","Standardized Hospitalization Ratio","142.92","3","-","3","3"
"FRESENIUS MEDICAL CARE BUTLER COUNTY, LLC","362724","-","5148 COLLEGE CORNER PIKE","OXFORD","OH","45056","Network 9","Standardized Hospitalization Ratio","218.09","0","-","3","3"
"FRESENIUS MEDICAL CARE CALALLEN","452630","-","3825 COUNTY ROAD 69","Robstown","TX","78380","Network 14","Standardized Hospitalization Ratio","133.68","4","-","2","3"
"FRESENIUS MEDICAL CARE CAMDEN","422509","-","7 HAILE LANE","CAMDEN","SC","29020","Network 6","Standardized Hospitalization Ratio","129.99","5","-","3","3"
"FRESENIUS MEDICAL CARE CAPITOL ARENA, LLC","212753","-","12220 CENTRAL AVE","BOWIE","MD","20721","Network 5","Standardized Hospitalization Ratio","31.09","10","-","6","3"
"FRESENIUS MEDICAL CARE CARROL COUNTY","112749","-","157 CLINIC AVENUE","CARROLLTON","GA","30117","Network 6","Standardized Hospitalization Ratio","146.80","3","-","3","3"
"FRESENIUS MEDICAL CARE CASWELL","342597","-","1702 HWY 86 NORTH","YANCEYVILLE","NC","27379","Network 6","Standardized Hospitalization Ratio","118.79","6","-","4","3"
"FRESENIUS MEDICAL CARE CAYEY","402549","-","P.O. BOX 371057","CAYEY","PR","00737","Network 3","Standardized Hospitalization Ratio","137.29","4","-","3","3"
"Fresenius Medical Care Cedar Hill, LLC","742529","-","120 W BELT LINE RD","CEDAR HILL","TX","75104","Network 14","Standardized Hospitalization Ratio","173.67","0","-","2","3"
"FRESENIUS MEDICAL CARE CENTRACARE DIALYSIS, LLC","242619","-","301 BECKER AVENUE SW","WILLMAR","MN","56201","Network 11","Standardized Hospitalization Ratio","118.44","6","-","4","3"
"FRESENIUS MEDICAL CARE CENTRACARE DIALYSIS, LLC","242611","-","520 11TH AVE. SW","CAMBRIDGE","MN","55008","Network 11","Standardized Hospitalization Ratio","158.32","1","-","4","3"
"FRESENIUS MEDICAL CARE CENTRACARE DIALYSIS, LLC","242615","-","600 E. PARK AVE.","OLIVIA","MN","56277","Network 11","Standardized Hospitalization Ratio","60.71","10","-","4","3"
"FRESENIUS MEDICAL CARE CENTRACARE DIALYSIS, LLC","242618","-","403 PRAIRIE AVE. NE","STAPLES","MN","56479","Network 11","Standardized Hospitalization Ratio","64.54","10","-","4","3"
"FRESENIUS MEDICAL CARE CENTRACARE DIALYSIS, LLC","242616","-","2035 15TH ST. N.","SAINT CLOUD","MN","56303","Network 11","Standardized Hospitalization Ratio","169.94","1","-","4","3"
"FRESENIUS MEDICAL CARE CENTRACARE DIALYSIS, LLC","242608","-","200 BUNKER HILL DR.","AITKIN","MN","56431","Network 11","Standardized Hospitalization Ratio","106.33","7","-","4","3"
"FRESENIUS MEDICAL CARE CENTRACARE DIALYSIS, LLC","242609","-","16830 198TH AVE. NW","BIG LAKE","MN","55309","Network 11","Standardized Hospitalization Ratio","93.79","9","-","4","3"
"FRESENIUS MEDICAL CARE CENTRACARE DIALYSIS, LLC","242612","-","111 17TH AVE. E.","ALEXANDRIA","MN","56308","Network 11","Standardized Hospitalization Ratio","115.39","6","-","4","3"
"FRESENIUS MEDICAL CARE CENTRACARE DIALYSIS, LLC","242614","-","808 3RD ST. SE","LITTLE FALLS","MN","56345","Network 11","Standardized Hospitalization Ratio","122.05","6","-","4","3"
"FRESENIUS MEDICAL CARE CENTRACARE DIALYSIS, LLC","242610","-","2024 S. 6TH ST.","BRAINERD","MN","56401","Network 11","Standardized Hospitalization Ratio","145.46","3","-","4","3"
"FRESENIUS MEDICAL CARE CENTRACARE DIALYSIS, LLC","242617","-","112 S. RUM RIVER DR.","PRINCETON","MN","55371","Network 11","Standardized Hospitalization Ratio","102.65","8","-","4","3"
"FRESENIUS MEDICAL CARE CENTRACARE DIALYSIS, LLC","242613","-","520 E. HIGHWAY 12","LITCHFIELD","MN","55355","Network 11","Standardized Hospitalization Ratio","109.03","7","-","4","3"
"Fresenius Medical Care Central Florida, LLC","682670","-","2701 SW COLLEGE RD.","Ocala","FL","34474","Network 7","Standardized Hospitalization Ratio","185.76","2","-","2","3"
"Fresenius Medical Care Central Fort Worth, LLC","452689","-","1210 ALSTON","FORT WORTH","TX","76104","Network 14","Standardized Hospitalization Ratio","158.52","1","-","2","3"
"Fresenius Medical Care Central Opelousas, LLC","192766","-","1620 COMMERCE BLVD","Opelousas","LA","70570","Network 13","Standardized Hospitalization Ratio","76.43","10","-","4","3"
"FRESENIUS MEDICAL CARE CENTRAL RALEIGH","342684","-","802 SEMART DRIVE","RALEIGH","NC","27604","Network 6","Standardized Hospitalization Ratio","151.71","2","-","4","3"
"FRESENIUS MEDICAL CARE - CHAMPLIN","242560","-","12339 CHAMPLIN DR","CHAMPLIN","MN","55316","Network 11","Standardized Hospitalization Ratio","140.54","3","-","4","3"
"Fresenius Medical Care - Chapel Hill","112879","-","3138 GOLF RIDGE BOULEVARD","DOUGLASVILLE","GA","30135","Network 6","Standardized Hospitalization Ratio","170.10","0","-","3","3"
"Fresenius Medical Care Charles County LLC","212747","-","3015 TECHNOLOGY PLACE","Waldorf","MD","20601","Network 5","Standardized Hospitalization Ratio","108.24","7","-","6","3"
"FRESENIUS MEDICAL CARE CHARLESTON COUNTY","422630","-","901 VON KOLNITZ RD","MOUNT PLEASANT","SC","29464","Network 6","Standardized Hospitalization Ratio","118.48","6","-","3","3"
"FRESENIUS MEDICAL CARE CHARLOTTE","342503","-","3158 FREEDOM DR.","Charlotte","NC","28208","Network 6","Standardized Hospitalization Ratio","200.10","0","-","4","3"
"Fresenius Medical Care Chattanooga, LLC","442651","-","2118 STEIN DRIVE","CHATTANOOGA","TN","37421","Network 8","Standardized Hospitalization Ratio","94.55","9","-","3","3"
"Fresenius Medical Care Chattanooga, LLC","112853","-","102 ERLANGER SOUTH DRIVE","RINGGOLD","GA","30736","Network 6","Standardized Hospitalization Ratio","110.85","7","-","3","3"
"FRESENIUS MEDICAL CARE CHATTANOOGA, LLC","442719","-","3810 BRAINERD ROAD","CHATTANOOGA","TN","37411","Network 8","Standardized Hospitalization Ratio","108.83","7","-","3","3"
"FRESENIUS MEDICAL CARE CHATTANOOGA, LLC","442756","-","5483 LITTLE DEBBIE PKWY","Ooltewah","TN","37363","Network 8","Standardized Hospitalization Ratio","122.12","6","-","3","3"
"FRESENIUS MEDICAL CARE CHATTANOOGA, LLC","442687","-","2253 CHAMBLISS AVENUE","CLEVELAND","TN","37311","Network 8","Standardized Hospitalization Ratio","163.16","1","-","3","3"
"FRESENIUS MEDICAL CARE CHATTANOOGA, LLC","442713","-","4803 HWY 58","CHATTANOOGA","TN","37416","Network 8","Standardized Hospitalization Ratio","147.69","3","-","3","3"
"FRESENIUS MEDICAL CARE CHATTANOOGA, LLC","442679","-","649 MORRISON SPRINGS ROAD","CHATTANOOGA","TN","37415","Network 8","Standardized Hospitalization Ratio","144.91","3","-","3","3"
"Fresenius Medical Care Chelmsford","222587","-","27 INDUSTRIAL AVE","CHELMSFORD","MA","01824","Network 1","Standardized Hospitalization Ratio","115.95","6","-","2","3"
"FRESENIUS MEDICAL CARE CHERAW","422614","-","104 GRACE LANE","CHERAW","SC","29520","Network 6","Standardized Hospitalization Ratio","180.09","0","-","3","3"
"Fresenius Medical Care Chicagoland, LLC","142607","-","17524 CARRIAGE WAY","HAZEL CREST","IL","60429","Network 10","Standardized Hospitalization Ratio","162.01","1","-","3","3"
"FRESENIUS MEDICAL CARE CHIGACOGLAND, LLC","142815","-","4616 BISHOP STREET","CHICAGO","IL","60609","Network 10","Standardized Hospitalization Ratio","121.07","6","-","3","3"
"FRESENIUS MEDICAL CARE CHISHOLM TRAIL","672724","-","1900 SCENIC DRIVE","GEORGETOWN","TX","78626","Network 14","Standardized Hospitalization Ratio","87.70","10","-","2","3"
"FRESENIUS MEDICAL CARE CHURCH STREET","422617","-","406 SOUTH CHURCH STREET","FLORENCE","SC","29501","Network 6","Standardized Hospitalization Ratio","226.45","0","-","3","3"
"Fresenius Medical Care Clarke County","112641","-","5105 JEFFERSON RD SUITE B","ATHENS","GA","30607","Network 6","Standardized Hospitalization Ratio","162.18","1","-","3","3"
"FRESENIUS MEDICAL CARE CLAYTON COUNTY","112645","-","181 UPPER RIVERDALE RD","RIVERDALE","GA","30274","Network 6","Standardized Hospitalization Ratio","166.05","1","-","3","3"
"Fresenius Medical Care Cleburne, LLC","452644","-","160 JACK BURTON RD","CLEBURNE","TX","76031","Network 14","Standardized Hospitalization Ratio","159.67","1","-","2","3"
