"A81631","5D9","","20020201","20130331","1"
"A81631","00K","","20130401","20200331","1"
"A81632","16C","","20200401","20200630","1"
"A81632","5E1","","20020304","20130331","1"
"A81632","00K","","20130401","20200331","1"
"A81633","16C","","20200401","20240331","1"
"A81633","5KM","","20021001","20130331","1"
"A81633","00M","","20130401","20200331","1"
"A81634","16C","","20200401","20260731","1"
"A81634","5E1","","20030401","20130331","1"
"A81634","00K","","20130401","20200331","1"
"A82003","01K","","20170401","","1"
"A82003","4DQ30","","19990401","20010331","1"
"A82003","5DD","","20010401","20060930","1"
"A82003","5NE","","20061001","20130331","1"
"A82003","01H","","20130401","20170331","1"
"A82004","4JY13","","19990401","20010331","1"
"A82004","5D5","","20010401","20060930","1"
"A82004","5NE","","20061001","20130331","1"
"A82004","01H","","20130401","","1"
"A82005","01K","","20170401","","1"
"A82005","4DQ30","","19990401","20010331","1"
"A82005","5DD","","20010401","20060930","1"
"A82005","5NE","","20061001","20130331","1"
"A82005","01H","","20130401","20170331","1"
"A82006","4JY13","","19990401","20010331","1"
"A82006","5D5","","20010401","20060930","1"
"A82006","5NE","","20061001","20130331","1"
"A82006","01H","","20130401","","1"
"A82007","01K","","20170401","","1"
"A82007","4KC44","","19990401","20010331","1"
"A82007","5DD","","20010401","20060930","1"
"A82007","5NE","","20061001","20130331","1"
"A82007","01H","","20130401","20170331","1"
"A82008","01K","","20170401","","1"
"A82008","4KC44","","19990401","20010331","1"
"A82008","5DD","","20010401","20060930","1"
"A82008","5NE","","20061001","20130331","1"
"A82008","01H","","20130401","20170331","1"
"A82009","01K","","20170401","","1"
"A82009","4KC44","","19990401","20010331","1"
"A82009","5DD","","20010401","20060930","1"
"A82009","5NE","","20061001","20130331","1"
"A82009","01H","","20130401","20170331","1"
"A82010","01K","","20170401","","1"
"A82010","4KC44","","19990401","20010331","1"
"A82010","5DD","","20010401","20060930","1"
"A82010","5NE","","20061001","20130331","1"
"A82010","01H","","20130401","20170331","1"
"A82012","4JY13","","19990401","20010331","1"
"A82012","5D5","","20010401","20060930","1"
"A82012","5NE","","20061001","20130331","1"
"A82012","01H","","20130401","","1"
"A82013","4JY13","","19990401","20010331","1"
"A82013","5D5","","20010401","20060930","1"
"A82013","5NE","","20061001","20130331","1"
"A82013","01H","","20130401","","1"
"A82014","4NA24","","19990401","20010331","1"
"A82014","5D4","","20010401","20060930","1"
"A82014","5NE","","20061001","20130331","1"
"A82014","01H","","20130401","","1"
"A82015","4NA24","","19990401","20010331","1"
"A82015","5D4","","20010401","20060930","1"
"A82015","5NE","","20061001","20130331","1"
"A82015","01H","","20130401","","1"
"A82016","4NA24","","19990401","20010331","1"
"A82016","5D4","","20010401","20060930","1"
"A82016","5NE","","20061001","20130331","1"
"A82016","01H","","20130401","","1"
"A82017","4NA24","","19990401","20010331","1"
"A82017","5D4","","20010401","20060930","1"
"A82017","5NE","","20061001","20130331","1"
"A82017","01H","","20130401","20171031","1"
"A82018","4NA24","","19990401","20010331","1"
"A82018","5D4","","20010401","20060930","1"
"A82018","5NE","","20061001","20130331","1"
"A82018","01H","","20130401","","1"
"A82019","4NA24","","19990401","20010331","1"
"A82019","5D4","","20010401","20060930","1"
"A82019","5NE","","20061001","20130331","1"
"A82019","01H","","20130401","20250430","1"
"A82020","4NA24","","19990401","20010331","1"
"A82020","5D4","","20010401","20060930","1"
"A82020","5NE","","20061001","20130331","1"
"A82020","01H","","20130401","","1"
"A82021","4MW56","","19990401","20010331","1"
"A82021","5D6","","20010401","20060930","1"
"A82021","5NE","","20061001","20130331","1"
"A82021","01H","","20130401","","1"
"A82022","4NA24","","19990401","20010331","1"
"A82022","5D4","","20010401","20060930","1"
"A82022","5NE","","20061001","20130331","1"
"A82022","01H","","20130401","","1"
"A82023","4MW56","","19990401","20010331","1"
"A82023","5D6","","20010401","20060930","1"
"A82023","5NE","","20061001","20130331","1"
"A82023","01H","","20130401","","1"
"A82024","4MW56","","19990401","20010331","1"
