"125","BASILDON BOROUGH COUNCIL","Y61","D7T5G","BASILDON CENTRE","ST MARTINS SQUARE","","BASILDON","","SS14 1DL","20040401","","","RO34","","","","","","","","1","","","","",""
"126","BASINGSTOKE AND DEANE BOROUGH COUNCIL","Y59","QRL","CIVIC OFFICES","LONDON ROAD","","BASINGSTOKE","","RG21 4AH","20040401","","","RO34","","","","","","","","1","","","","",""
"127","BASSETLAW DISTRICT COUNCIL","Y60","QT1","QUEEN'S BUILDINGS","POTTER STREET","","WORKSOP","","S80 2AH","20040401","","","RO36","","","","","","","","1","","","","",""
"128","BLABY DISTRICT COUNCIL","Y60","QK1","COUNCIL OFFICES","DESFORD ROAD","NARBOROUGH","LEICESTER","","LE19 2EP","20040401","","","RO36","","","","","","","","1","","","","",""
"130","BOLSOVER DISTRICT COUNCIL","Y60","QJ2","THE ARC","HIGH STREET","CLOWNE","CHESTERFIELD","","S43 4JY","20040401","","","RO36","","","","","","","","1","","","","",""
"131","BOSTON BOROUGH COUNCIL","Y60","QJM","MUNICIPAL BUILDINGS","WEST STREET","","BOSTON","","PE21 8QR","20040401","","","RO34","","","","","","","","1","","","","",""
"132","BRAINTREE DISTRICT COUNCIL","Y61","D7T5G","CAUSEWAY HOUSE","BOCKING END","","BRAINTREE","","CM7 9HB","20040401","","","RO36","","","","","","","","1","","","","",""
"133","BRECKLAND DISTRICT COUNCIL","Y61","T6Y0W","ELIZABETH HOUSE","WALPOLE LOKE","","DEREHAM","","NR19 1EE","20040401","","","RO36","","","","","","","","1","","","","",""
"134","BRENTWOOD BOROUGH COUNCIL","Y61","D7T5G","TOWN HALL","INGRAVE ROAD","","BRENTWOOD","","CM15 8AY","20040401","","","RO34","","","","","","","","1","","","","",""
"136","BROADLAND DISTRICT COUNCIL","Y61","T6Y0W","HORIZON BUSINESS CENTRE","PEACHMAN WAY","BROADLAND BUSINESS PARK","NORWICH","","NR7 0WF","20040401","","","RO36","","","","","","","","1","","","","",""
"137","BROMSGROVE DISTRICT COUNCIL","Y60","QGH","PARKSIDE","MARKET STREET","","BROMSGROVE","","B61 8DA","20040401","","","RO36","","","","","","","","1","","","","",""
"138","BROXBOURNE BOROUGH COUNCIL","Y61","S1Y5D","BISHOPS COLLEGE","CHURCHGATE","CHESHUNT","WALTHAM CROSS","","EN8 9XQ","20120401","","","RO34","","","","","","","","1","","","","",""
"139","BROXTOWE BOROUGH COUNCIL","Y60","QT1","TOWN HALL","FOSTER AVENUE","BEESTON","NOTTINGHAM","","NG9 1AB","20040401","","","RO34","","","","","","","","1","","","","",""
"140","BURNLEY BOROUGH COUNCIL","Y62","QE1","TOWN HALL","MANCHESTER ROAD","","BURNLEY","","BB11 9SD","20040401","","","RO34","","","","","","","","1","","","","",""
"142","CAMBRIDGE CITY COUNCIL","Y61","S1Y5D","THE GUILDHALL","","","CAMBRIDGE","","CB2 3QJ","20040401","","","RO35","","","","","","","","1","","","","",""
"143","CANNOCK CHASE DISTRICT COUNCIL","Y60","QNC","CIVIC CENTRE","BEECROFT ROAD","","CANNOCK","","WS11 1BG","20040401","","","RO36","","","","","","","","1","","","","",""
"144","CANTERBURY CITY COUNCIL","Y59","QKS","MILITARY ROAD","","","CANTERBURY","","CT1 1YW","20040401","","","RO35","","","","","","","","1","","","","",""
"146","CARLISLE CITY COUNCIL","Y63","QHM","CIVIC CENTRE","RICKERGATE","","CARLISLE","","CA3 8QG","20040401","20230331","","RO35","","","","","","","","1","","","","",""
"148","CASTLE POINT BOROUGH COUNCIL","Y61","D7T5G","KILN ROAD","","","BENFLEET","","SS7 1TF","20040401","","","RO34","","","","","","","","1","","","","",""
"150","CHARNWOOD BOROUGH COUNCIL","Y60","QK1","COUNCIL OFFICES","SOUTHFIELD ROAD","","LOUGHBOROUGH","","LE11 2TX","20040401","","","RO34","","","","","","","","1","","","","",""
"151","CHELMSFORD CITY COUNCIL","Y61","D7T5G","CIVIC CENTRE","DUKE STREET","","CHELMSFORD","","CM1 1JE","20040401","","","RO34","","","","","","","","1","","","","",""
"152","CHELTENHAM BOROUGH COUNCIL","Y58","QR1","MUNICIPAL OFFICES","PROMENADE","","CHELTENHAM","","GL50 1PJ","20040401","","","RO34","","","","","","","","1","","","","",""
"153","CHERWELL DISTRICT COUNCIL","Y59","S0E4D","39 CASTLE QUAY","","","BANBURY","","OX16 5FD","20040401","","","RO36","","","","","","","","1","","","","",""
"154","CHESTERFIELD BOROUGH COUNCIL","Y60","QJ2","TOWN HALL","ROSE HILL","","CHESTERFIELD","","S40 1LP","20040401","","","RO34","","","","","","","","1","","","","",""
"155","CHICHESTER DISTRICT COUNCIL","Y59","S9B9J","EAST PALLANT HOUSE","1 EAST PALLANT","","CHICHESTER","","PO19 1TY","20040401","","","RO36","","","","","","","","1","","","","",""
"156","CHILTERN DISTRICT COUNCIL","Y59","S0E4D","KING GEORGE V HOUSE","KING GEORGE V ROAD","","AMERSHAM","","HP6 5AW","20040401","20200331","","RO36","","","","","","","","1","","","","",""
"157","CHORLEY BOROUGH COUNCIL","Y62","QE1","CIVIC OFFICES","UNION STREET","","CHORLEY","","PR7 1AL","20040401","","","RO34","","","","","","","","1","","","","",""
"158","CHRISTCHURCH BOROUGH COUNCIL","Y58","QVV","CIVIC OFFICES","BRIDGE STREET","","CHRISTCHURCH","","BH23 1AZ","20040401","20190331","","RO34","","","","","","","","1","","","","",""
"159","CITY OF LINCOLN COUNCIL","Y60","QJM","CITY HALL","BEAUMONT FEE","","LINCOLN","","LN1 1DD","20040401","","","RO35","","","","","","","","1","","","","",""
"160","COLCHESTER BOROUGH COUNCIL","Y61","D7T5G","ROWAN HOUSE","33 SHEEPEN ROAD","","COLCHESTER","","CO3 3WG","20040401","","","RO34","","","","","","","","1","","","","",""
"162","COPELAND BOROUGH COUNCIL","Y63","QHM","THE COPELAND CENTRE","CATHERINE STREET","","WHITEHAVEN","","CA28 7SJ","20040401","20230331","","RO34","","","","","","","","1","","","","",""
"163","CORBY BOROUGH COUNCIL","Y60","QPM","THE CORBY CUBE","PARKLAND GATEWAY","GEORGE STREET","CORBY","","NN17 1QG","20040401","20210331","","RO34","","","","","","","","1","","","","",""
"164","COTSWOLD DISTRICT COUNCIL","Y58","QR1","TRINITY ROAD","","","CIRENCESTER","","GL7 1PX","20040401","","","RO36","","","","","","","","1","","","","",""
"165","CRAVEN DISTRICT COUNCIL","Y63","QWO","1 BELLE VUE SQUARE","BROUGHTON ROAD","","SKIPTON","","BD23 1FJ","20040401","20230331","","RO36","","","","","","","","1","","","","",""
"166","CRAWLEY BOROUGH COUNCIL","Y59","S9B9J","TOWN HALL","THE BOULEVARD","","CRAWLEY","","RH10 1UZ","20040401","","","RO34","","","","","","","","1","","","","",""
"167","DACORUM BOROUGH COUNCIL","Y61","S1Y5D","THE FORUM","MARLOWES","","HEMEL HEMPSTEAD","","HP1 1DN","20040401","","","RO34","","","","","","","","1","","","","",""
"168","DARTFORD BOROUGH COUNCIL","Y59","QKS","CIVIC CENTRE","HOME GARDENS","","DARTFORD","","DA1 1DR","20040401","","","RO34","","","","","","","","1","","","","",""
