"State","Measure ID","Measure Name","Number of Hospitals Worse","Number of Hospitals Same","Number of Hospitals Better","Number of Hospitals Too Few","Footnote","Start Date","End Date","Number of Hospitals Fewer","Number of Hospitals Average","Number of Hospitals More","Number of Hospitals Too Small"
MN,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,55,0,65,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MN,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,72,0,48,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MN,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,39,0,38,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MN,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,96,0,27,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MO,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,1,46,0,32
MO,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,15,48,12,29
MO,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,19,65,11,9
MO,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),Not Available,Not Available,Not Available,Not Available,4,07/01/2024,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MO,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,82,0,9,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MO,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,3,41,0,39,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MO,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,43,1,39,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MO,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,1,64,1,16,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MO,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,50,0,27,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MO,READM_30_CABG,Rate of readmission for CABG,0,23,0,5,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MO,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,81,0,21,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MO,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,81,0,22,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MO,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,36,0,32,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MO,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,95,1,7,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MP,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5,07/01/2022,06/30/2025,Not Available,Not Available,Not Available,Not Available
MP,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5,07/01/2022,06/30/2025,Not Available,Not Available,Not Available,Not Available
MP,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5,07/01/2022,06/30/2025,Not Available,Not Available,Not Available,Not Available
MP,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),Not Available,Not Available,Not Available,Not Available,5,07/01/2024,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MP,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",Not Available,Not Available,Not Available,Not Available,5,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MP,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,Not Available,Not Available,Not Available,Not Available,5,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MP,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,Not Available,Not Available,Not Available,Not Available,5,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MP,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,Not Available,Not Available,Not Available,Not Available,5,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MP,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MP,READM_30_CABG,Rate of readmission for CABG,Not Available,Not Available,Not Available,Not Available,5,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MP,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,Not Available,Not Available,Not Available,Not Available,5,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MP,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
