"G7800609","VICTOR STREET SURGERY","","","VICTOR STREET","","","SOUTHAMPTON","","SO15 5SY","20061001","20240221","","RO59","J82022","20061001","20240221","0844 4778669","","","","1","","D9Y0V","","",""
"G7800616","WISTARIA SURGERY","","","WISTERIA SURGERY","18 AVENUE ROAD","","LYMINGTON","","SO41 9GJ","20061001","20240221","","RO59","J82139","20061001","20240221","01590 672212","","","","1","","D9Y0V","","",""
"G7800623","FORESTSIDE MEDICAL PRACTICE","","","BEAULIEU ROAD","DIBDEN PURLIEU","","SOUTHAMPTON","","SO45 4JA","20061001","20240221","","RO59","J82072","20061001","20240221","023 80877900","","","","1","","D9Y0V","","",""
"G7800630","GILLIES HEALTH CENTRE","","","SULLIVAN ROAD","BRIGHTON HILL","","BASINGSTOKE","","RG22 4EH","20061001","20240221","","RO59","J82069","20061001","20240221","01256 479747","","","","1","","D9Y0V","","",""
"G7800647","WICKHAM GROUP PRACTICE","","","STATION ROAD","WICKHAM","","FAREHAM","","PO17 5JL","20061001","20240221","","RO59","J82034","20061001","20240221","01329 833121","","","","1","","D9Y0V","","",""
"G7800654","STOKEWOOD SURGERY","","","FAIR OAK ROAD","FAIR OAK","","EASTLEIGH","","SO50 8AU","20061001","20240221","","RO59","J82018","20061001","20240221","023 806 9200","","","","1","","D9Y0V","","",""
"G7800678","TOTTON HEALTH CENTRE","","","TESTWOOD LANE","TOTTON","","SOUTHAMPTON","","SO40 3ZN","20061001","20200731","","RO59","J82097","20061001","20200731","01590 672212","","","","1","","D9Y0V","","",""
"G7800685","SOUTHLEA GROUP PRACTICE","","","276 LOWER FARNHAM ROAD","","","ALDERSHOT","","GU11 3RB","20061001","20240221","","RO59","J82066","20061001","20240221","01252 344868","","","","1","","D9Y0V","","",""
"G7800692","ST CLEMENTS SURGERY","","","ST. CLEMENTS PARTNERSHIP","TANNER STREET","","WINCHESTER","","SO23 8AD","20061001","20240221","","RO59","J82035","20061001","20240221","01962 852211","","","","1","","D9Y0V","","",""
"G7800702","DR M MACLEOD","","","ALDERSHOT HEALTH CENTRE","WELLINGTON AVENUE","","ALDERSHOT","","GU11 1PA","20061001","20190331","","RO59","J82030","20061001","20190331","01252 324577","","","","1","","D9Y0V","","",""
"G7800719","VANESSA C JEANS","","","THE ORCHARD","DARTFORD WEST HEALTH CENTRE","TOWER ROAD","DARTFORD","","DA1 2HA","20070319","20240221","","RO59","G82056","20070319","20240221","01322 223960","","","","1","","91Q","","",""
"G7800726","DR JULIAN MCLOUGHLIN","","","THE HEALTH CENTRE","109 FLANSHAM PARK","","BOGNOR REGIS","","PO22 6DH","20061001","20240221","","RO59","H82038","20061001","20240221","08444 773182","","","","1","","70F","","",""
"G7800733","DR PHILIP MARRIOTT","","","SAXONBURY HOUSE","CROFT ROAD","","CROWBOROUGH","","TN6 1DL","20061001","20240221","","RO59","G81055","20061001","20240221","","","","","1","","97R","","",""
"G7800740","DR GLENIS BENNETT","","","10 CORNWALLIS GARDENS","","","HASTINGS","","TN34 1LP","20070326","20190331","","RO59","G81013","20070326","20190331","01424 722666","","","","1","","97R","","",""
"G7800757","WILSON & PARTNERS (POOLED LIST)","","","RAMSEY GROUP PRACTICE CENTRE","GROVE MOUNT SOUTH","","RAMSEY","","IM8 3EY","20070326","","","RO59","Y00003","20070326","","01624 813881","","","","1","","","","",""
"G7800764","PANDEY (PCT PRACTICE)","","","DITTON MEDICAL CENTRE","56 BLUNDELL ROAD","","WIDNES","","WA8 8SS","20070326","20240221","","RO59","N81619","20070326","20240221","01514955140","","","","1","","01F","","",""
"G7800771","DR M KIRBY","","","THE SURGERY","NEVELLS ROAD","","LETCHWORTH","","SG6 4TS","20061001","20240221","","RO59","E82008","20061001","20240221","0844 4771796","","","","1","","06K","","",""
"G7800788","DR A NAQVI","","","CROMWELL MEDICAL CENTRE","11 CROMWELL AVENUE","CHESHUNT","WALTHAM CROSS","","EN7 5DL","20061001","20240221","","RO59","E82079","20061001","20240221","","","","","1","","06K","","",""
"G7800795","DR O P SHARMA","","","WANDSWORTH MEDICAL CENTRE","90-92 GARRATT LANE","","LONDON","","SW18 4DD","20061001","20240221","","RO59","H85001","20061001","20240221","","","","","1","","36L","","",""
"G7800805","HOOKER AND PARTNERS","","","TOWCESTER MEDICAL CENTRE","LINK WAY","","TOWCESTER","","NN12 6HH","20061001","20240221","","RO59","K83022","20061001","20240221","","","","","1","","78H","","",""
"G7800812","DR R OULTON","","","BEDFORD HILL FAMILY PRACTICE","120-124 BEDFORD HILL","","LONDON","","SW12 9HS","20070401","20240221","","RO59","H85009","20070401","20240221","","","","","1","","36L","","",""
"G7800829","DR ROSEMARY TOY","","","GADE HOUSE","99B UXBRIDGE ROAD","","RICKMANSWORTH","","WD3 7DJ","20070401","20240221","","RO59","E82068","20070401","20240221","","","","","1","","06N","","",""
"G7800836","DR A BAUCHOP","","","BURSLEDON SURGERY","7 MANOR CRESCENT","BURSLEDON","SOUTHAMPTON","","SO31 8DQ","20070401","20221130","","RO59","J82188","20070401","20221130","","","","","1","","D9Y0V","","",""
"G7800850","DR AT PRIORY SURGERY","","","THE PRIORY SURGERY","326 WELLS ROAD","","BRISTOL","","BS4 2QJ","20070401","20240221","","RO59","L81084","20070401","20240221","","","","","1","","15C","","",""
"G7800867","DR J S N ANDERSON","","","WOODLANDS HEALTH CENTRE","ALLINGTON ROAD","PADDOCK WOOD","TONBRIDGE","","TN12 6AP","20070401","20240221","","RO59","G82118","20070401","20240221","","","","","1","","91Q","","",""
"G7800874","DR A L CHAMBERLAIN","","","BADGERSWOOD SURGERY","MILL LANE","HEADLEY","BORDON","","GU35 8LH","20070401","20240221","","RO59","J82042","20070401","20240221","","","","","1","","D9Y0V","","",""
"G7800881","DR D G MACARTHUR","","","PARKSIDE SURGERY","ALFRETON PRIMARY CARE CENTRE","CHURCH STREET","ALFRETON","","DE55 7BD","20070401","20240221","","RO59","C81053","20070401","20240221","","","","","1","","15M","","",""
"G7800908","DR M ROYCHOUDHURY","","","BLOOMSBURY HEALTH CENTRE","63 RUPERT STREET","","BIRMINGHAM","","B7 5DT","20070401","20210630","","RO59","M85663","20070401","20210630","","","","","1","","15E","","",""
"G7800915","DR OA ABDO","","","BLACKWOOD HEALTH CENTRE","BLACKWOOD ROAD","","SUTTON COLDFIELD","","B74 3PL","20070401","20240221","","RO59","M91637","20070401","20240221","","","","","1","","D2P2L","","",""
"G7800939","DR CD RAMESH","","","BELLE VUE SURGERY","WEST VIEW HEALTH VILLAGE","BROADWAY","FLEETWOOD","","FY7 8GU","20070401","20191130","","RO59","P81690","20070401","20191130","","","","","1","","02M","","",""
"G7800946","DR MICHAEL BUTTERISS","","","DOCTORS SURGERY","1 LEIGHTON ROAD","","LEIGHTON BUZZARD","","LU7 1LB","20070401","20240221","","RO59","E81044","20070401","20240221","01525 372571","","","","1","","M1J4Y","","",""
"G7800953","DR ROGER G CHAPMAN","","","DOCTORS SURGERY","29 BASSETT ROAD","","LEIGHTON BUZZARD","","LU7 1AR","20070401","20240221","","RO59","E81003","20070401","20240221","01525 373111","","","","1","","M1J4Y","","",""
"G7800960","DR SHARDA PRASAD","","","CONWAY MEDICAL CENTRE","49 WESTBOURNE ROAD","","LUTON","","LU4 8JD","20070401","20240221","","RO59","E81063","20070401","20240221","01582 429953","","","","1","","M1J4Y","","",""
"G7800977","DR GHANSHAYAM SUKHANI","","","THE SURGERY","30 THE GREEN","HOCKWELL RING","LUTON","","LU4 9NN","20070401","20240221","","RO59","E81612","20070401","20240221","","","","","1","","M1J4Y","","",""
"G7800984","DR GEORGE AND A-E OF DR NORRIS","","","LISTER MEDICAL CENTRE","LISTER HOUSE","","HARLOW","","CM18 7LU","20070401","20240221","","RO59","F81027","20070401","20240221","","","","","1","","07H","","",""
"G7800991","NASIR - ABEYANCE","","","LINGHOLME HEALTH CENTRE","ATHERTON STREET","","ST. HELENS","","WA10 2DT","20070401","20240221","","RO59","N83637","20070401","20240221","","","","","1","","01X","","",""
"G7801002","DR COCKCROFT","","","DOCTORS SURGERY","17B WARMDENE ROAD","","BRIGHTON","","BN1 8NL","20070401","20240221","","RO59","G81036","20070401","20240221","","","","","1","","09D","","",""
"G7801019","IQBAL - ABEYANCE","","","HALEWOOD HEALTH CENTRE","60 ROSEHEATH DRIVE","","LIVERPOOL","","L26 9UH","20070401","20240221","","RO59","N83031","20070401","20240221","","","","","1","","01J","","",""
"G7801026","PRESTON ROAD SECOND POOLED LIST","","","DOCTORS SURGERY","102 PRESTON ROAD","","WEYMOUTH","","DT3 6BB","20070401","20240221","","RO59","J81027","20070401","20240221","","","","","1","","11J","","",""
"G7801033","DR M P TRENT","","","THE COBHAM HEALTH CENTRE","168 PORTSMOUTH ROAD","","COBHAM","","KT11 1HT","20070401","20240221","","RO59","H81067","20070401","20240221","","","","","1","","92A","","",""
"G7801040","DR VEVERS","","","MOATFIELD SURGERY","ST. MICHAELS ROAD","","EAST GRINSTEAD","","RH19 3GW","20070401","20240221","","RO59","H82063","20070401","20240221","","","","","1","","70F","","",""
"G7801057","DR L D STONE","","","CHESSEL SURGERY","4 CHESSEL AVENUE","","SOUTHAMPTON","","SO19 4AA","20070401","20240221","","RO59","J82101","20070401","20240221","","","","","1","","D9Y0V","","",""
"G7801064","DR VKF PATEL","","","STONELEIGH SURGERY","20 GLENWOOD ROAD","","EPSOM","","KT17 2LZ","20070401","20240221","","RO59","H81613","20070401","20240221","","","","","1","","92A","","",""
"G7801071","DR AT SEYMOUR MEDICAL PRACTICE","","","CHARLOTTE KEEL HEALTH CLINIC","SEYMOUR ROAD","EASTON","BRISTOL","","BS5 0UA","20070401","20240221","","RO59","L81015","20070401","20240221","","","","","1","","15C","","",""
"G7801095","DR T R M BILLINGTON","","","LORDSHILL HEALTH CENTRE","LORDSHILL DISTRICT CENTRE","","SOUTHAMPTON","","SO16 8HY","20070401","20240221","","RO59","J82002","20070401","20240221","","","","","1","","D9Y0V","","",""
"G7801105","DR R A PENNELLS","","","WATERSIDE MEDICAL CENTRE","MUMBY ROAD","","GOSPORT","","PO12 1BA","20070401","20180930","","RO59","J82113","20070401","20180930","","","","","1","","D9Y0V","","",""
"G7801112","DR AT MONKS PARK SURGERY","","","MONKS PARK SURGERY","24 MONKS PARK AVENUE","","BRISTOL","","BS7 0UE","20070401","20240221","","RO59","L81669","20070401","20240221","","","","","1","","15C","","",""
"G7801129","DR AT WEST WALK SURGERY","","","WEST WALK SURGERY","21 WEST WALK, YATE","","BRISTOL","","BS37 4AX","20070401","20240221","","RO59","L81047","20070401","20240221","","","","","1","","15C","","",""
"G7801136","DR J J MORRISSEY","","","GREEN LANE SURGERY","2 GREEN LANE","","BELPER","","DE56 1BZ","20070401","20240221","","RO59","C81038","20070401","20240221","","","","","1","","15M","","",""
"G7801143","DR P J M MILROY","","","THE KNOLL SURGERY","46 HIGH STREET","","FRODSHAM","","WA6 7HF","20070401","20240221","","RO59","N81030","20070401","20240221","","","","","1","","27D","","",""
"G7801167","COCKBURN ES","","","SEAFORD HEALTH CENTRE","DANE ROAD","","SEAFORD","","BN25 1DH","20070401","20240221","","RO59","G81029","20070401","20240221","","","","","1","","97R","","",""
"G7801174","DR A K BANERJEE","","","THE SURGERY","74 NORTON ROAD","","STOCKTON-ON-TEES","","TS18 2DE","20070401","20171030","","RO59","A81609","20070401","20171030","","","","","1","","16C","","",""
"G7801181","DR CHRISTOPHER JOHN LOGAN","","","ASPLANDS MEDICAL CENTRE","ASPLANDS CLOSE","WOBURN SANDS","MILTON KEYNES","","MK17 8QP","20070401","20240221","","RO59","E81050","20070401","20240221","","","","","1","","M1J4Y","","",""
"G7801198","DR CALVERLEY & PARTNERS","","","BRANT ROAD SURGERY","291 BRANT ROAD","","LINCOLN","","LN5 9AB","20070401","20240221","","RO59","C83078","20070401","20240221","","","","","1","","71E","","",""
"G7801208","DR J RUSH","","","LOWFIELD MEDICAL CENTRE","65-67 LOWFIELD STREET","","DARTFORD","","DA1 1HP","20070401","20240221","","RO59","G82143","20070401","20240221","","","","","1","","91Q","","",""
"G7801215","DR J BROWN & PTNS","","","8 THE DERBY SQUARE","","","EPSOM","","KT19 8AG","20070401","20240221","","RO59","H81081","20070401","20240221","","","","","1","","92A","","",""
"G7801222","MISHRA K M","","","HIGHFIELD SURGERY","THE HEIGHTS","JUPITER DRIVE","HEMEL HEMPSTEAD","","HP2 5NT","20070401","20240221","","RO59","E82640","20070401","20240221","","","","","1","","06N","","",""
"G7801239","DR P A COLLINS","","","THE ANDOVER HEALTH CENTRE","CHARLTON ROAD","","ANDOVER","","SP10 3LD","20070401","20240221","","RO59","J82017","20070401","20240221","","","","","1","","D9Y0V","","",""
"G7801253","DR S A KUMAR","","","STORRSDALE MEDICAL CENTRE","1 STORRSDALE ROAD","ALLERTON","LIVERPOOL","","L18 7JY","20070601","20240221","","RO59","N82039","20070601","20240221","01517242396","","","","1","","99A","","",""
"G7801260","DR ELZBEITA MACIEJEWSKA - M123","","","MERCHISTON SURGERY","HIGHWORTH ROAD","STRATTON ST MARGARET","SWINDON","","SN3 4BF","20070601","20240221","","RO59","J83001","20070601","20240221","01793 823307","","","","1","","92G","","",""
"G7801277","DR P J LEE","","","GRATTON SURGERY","SUTTON SCOTNEY","","WINCHESTER","","SO21 3LE","20070601","20240221","","RO59","J82106","20070601","20240221","01962 760394","","","","1","","D9Y0V","","",""
